FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.577,0.4,0.2,0.595,0.768,2.4,7.1,1.2,0.8,0.7,12.2
0.487,2.2,0.32,0.531,0.598,2.3,6.3,1.9,1.7,0.4,11.8
0.46,5.6,0.411,0.488,0.829,0.7,5.5,2.4,0.9,0.4,18.6
0.516,0.5,0.242,0.545,0.71,1.7,4.7,1.2,0.4,0.3,6.3
0.491,3,0.381,0.563,0.706,0.8,4.8,1.2,0.4,0.5,9.9
0.441,2.3,0.36,0.556,0.81,1.2,3.3,0.7,0.2,0.1,4.7
0.473,2.5,0.347,0.503,0.785,1.6,6.7,2.2,0.7,0.2,14.5
34.2,,0.516,0.419,0.586,,0.889,0.5,6.4,6.8,1.8
32.4,2.001677852,0.439,0.395,0.489,1.331879195,0.793,1.3,5.3,6.6,2.4
31.2,1.724598388,0.45,0.366,0.527,0.6779031536,0.707,1.1,5.1,6.3,0.4
18.5,2.9742396,0.382,0.403,0.476,0.4595526857,0.83,0.6,1.8,2.4,0.2
29.7,,0.434,0.362,0.518,,0.843,1.2,6.3,7.5,0.6
36.9,,0.542,0.367,0.59,,0.731,1.2,7.5,8.6,0.9
25.6,,0.481,0.364,0.572,,0.684,0.4,2.7,3,0.4
26.8,,0.429,0.368,0.499,,0.805,0.8,4.6,5.4,0.2
27,,0.48,0.367,0.536,,0.82,1,4.6,5.6,0.5
21.2,,0.423,0.295,0.482,,0.608,1.1,4.4,5.5,1
25.7,,0.458,0.413,0.57,,0.829,0.9,3.8,4.7,0.5
16.8,,0.489,0.313,0.553,,0.746,1,2.3,3.3,0.7
22.3,,0.507,0.395,0.528,,0.78,1.3,4.3,5.6,0.6
18.5,,0.527,0.405,0.59,,0.658,0.7,2.6,3.3,0.1
20.5,,0.461,0.415,0.563,,0.8,0.8,3.3,4.1,0.2
27.2,,0.447,0.377,0.546,,0.818,1.1,6.3,7.4,0.7
16.2,,0.444,0.303,0.487,,0.621,1.3,4.5,5.8,0.3
27.8,,0.39,0.371,0.52,,0.717,1.1,4.4,5.6,0.3
20.7,,0.508,0.22,0.537,,0.621,1,3.5,4.5,0.5
15.5,,0.398,0.386,0.523,,0.87,0.4,2,2.4,0.3
30.1,,0.464,0.345,0.509,,0.696,1.7,4.7,6.4,1.2
19.4,,0.356,0.349,0.496,,0.817,0.6,3.1,3.7,0.4
21.6,,0.471,0.314,0.506,,0.772,1.3,3.8,5.1,0.7
26.1,,0.431,0.386,0.568,,0.774,1.4,3.6,5,0.3
12.1,,0.494,0.167,0.514,,0.661,0.6,1.8,2.4,0.1
15.8,,0.346,0.32,0.452,,0.61,0.5,1.7,2.2,0.1
